date,exercise,set_number,weight,reps
2024-11-10,스쿼트,1,100.0,8
2024-11-10,스쿼트,2,100.0,6
2024-11-10,스쿼트,3,100.0,5
2024-11-09,벤치프레스,1,60.0,5
2024-11-09,벤치프레스,2,75.0,8
2024-11-09,벤치프레스,3,70.0,8
2024-11-09,벤치프레스,4,60.0,10
2024-11-10,벤치프레스,1,60.0,5
2024-11-10,벤치프레스,2,80.0,5
2024-11-10,벤치프레스,3,75.0,8
2024-11-10,벤치프레스,4,70.0,10
2024-11-10,벤치프레스,5,60.0,10
2024-11-11,벤치프레스,1,85.0,4
2024-11-11,벤치프레스,2,80.0,5
2024-11-11,벤치프레스,3,70.0,10
2024-11-11,벤치프레스,4,70.0,9
2024-11-11,벤치프레스,5,70.0,8
2024-11-15,벤치프레스,1,80.0,7
2024-11-15,벤치프레스,2,80.0,5
2024-11-15,벤치프레스,3,80.0,3
2024-11-15,벤치프레스,4,70.0,10
2024-11-16,벤치프레스,1,80.0,7
2024-11-16,벤치프레스,2,80.0,6
2024-11-16,벤치프레스,3,80.0,5
2024-11-16,벤치프레스,4,70.0,10
